issue_id,award_id,userid,issue_reason,issue_time
6849,180,45146,Reached lvl. 100,1618662858
6850,126,72591,For completing all available operations with a five star rating.,1618663144
6851,187,72591,This award is for any member who has completely researched all vessels (excluding freemium/premium) for any 5 Nations.,1618663237
6854,5,72956,Achieved battle rank 120 and enrolled in the Advanced Specialization Program,1618797774
6860,126,65578,For completing all available operations with a five star rating.,1618985384
6895,5,38820,Enrolled in the Advanced Specialization Program,1619155213
6896,18,38820,5 years of service.,1619155245
6903,147,48605,You successfully earned the title of Dredgen.,1619364378
6907,227,45146,2nd place in the Tank obstacle course,1619377704
6908,227,66775,Third place in the Tank obstacle course,1619377776
6910,227,49472,Fifth place in the tank obstacle course,1619377842
6916,227,60082,First in the Tug of War,1619379363
6925,227,24241,Great Impact in the division throughout its history.,1619381585
6926,227,26100,Great Impact in the division throughout its history.,1619381592
6928,227,21439,Great Impact in the division throughout its history.,1619381609
6929,227,27320,Great Impact in the division throughout its history.,1619381618
6930,227,32509,Great Impact in the division throughout its history.,1619381637
6931,227,15936,Great Impact in the division throughout its history.,1619381686
6932,227,17836,Great Impact in the division throughout its history.,1619381696
6934,227,53567,Great Impact in the division throughout its history.,1619381756
6935,227,8162,Great Impact in the division throughout its history.,1619381811
6936,227,70753,Great Impact in the division throughout its history.,1619381820
6937,227,23883,Great Impact in the division throughout its history.,1619381843
6939,227,27590,Great Impact in the division throughout its history.,1619381925
6940,227,38288,Great Impact in the division throughout its history.,1619381967
6941,227,48716,Great Impact in the division throughout its history.,1619381977
6944,227,21441,Great Impact in the division throughout its history.,1619448187
6959,18,35944,5 years with AOD!,1619574559
6963,5,34810,Achieved battle rank 120.,1619825033
6964,126,80705,For completing all available operations with a five star rating.,1619844569
6965,126,79231,For completing all available operations with a five star rating.,1619895555
6970,182,72591,What will you do now that you're done with campaigning?,1619996699
6971,127,72591,Congrats you nutty collector!,1619997904
6972,41,79504,Member of the Reaper Operation Group,1620007260
6981,213,48605,"",1620233871
6988,182,19955,"What will you do now that you're done with campaigning? I know, you can recruit!",1620388608
7075,5,59811,Enrolled in the Advanced Specialization Program.,1620510770
7080,126,81196,For completing all available operations with a five star rating.,1620734668
7093,227,32873,"",1621200970
7094,227,60775,Sgt of the WT division,1621201346
7107,139,3716,Member has been in AOD for at least 15 years.,1621794255
7111,139,3510,Member has been in AOD for at least 15 years.,1621794507
7113,139,4587,Member has been in AOD for at least 15 years.,1621794674
7121,19,15936,10 Years with AOD! Congratulations!,1621795229
7123,19,15189,10 Years with AOD! Congratulations!,1621795318
7127,19,14700,10 Years with AOD! Congratulations!,1621795422
7129,18,37209,5 years!!,1621800179
7141,18,33280,5 years with AOD!,1621825433
7144,18,38767,5 years with AOD!,1621825501
7145,18,39000,5 years with AOD!,1621825524
7147,18,39909,5 years with AOD!,1621825564
7155,18,44493,5 years with AOD!,1621825745
7157,147,71484,Completed Dredgen,1621853280
7158,18,44557,Member has been a member of AOD for 5 years! Congratulations!,1621876557
7170,18,45133,Congrats on your 5 years of gaming with AOD.,1621893085
7173,18,42728,Congrats on your 5 years of gaming with AOD.,1621893310
7178,18,33540,Congrats on your 5 years of gaming with AOD.,1621893579
7182,18,40630,5 Years in AOD!,1621953843
7189,18,31782,5 years in AOD!,1621954012
7194,18,41924,5 years with AOD!,1622010803
7195,18,43995,5 years with AOD!,1622010874
7196,18,80977,5 years with AOD!,1631255760
7201,18,32405,5 years of service.,1622067820
7206,18,32542,5 years of service.,1622068153
7208,18,43769,5 years of service.,1622068208
7209,18,43957,5 years of service.,1622068395
7213,18,49460,5 years of service.,1622068519
7218,18,45121,5 years of service.,1622068793
7219,18,45875,5 years of service.,1622069479
7221,18,45116,5 years of service.,1622069532
7224,18,49121,5 years of service.,1622069617
7227,18,45501,5 years of service.,1622069751
7228,18,39551,5 years of service.,1622069792
7229,18,42762,5 years of service.,1622069820
7236,18,30861,5 years of service.,1622069996
7237,18,21703,5 years of service.,1622070019
7238,18,33825,5 years of service.,1622070044
7239,18,31456,5 years of service.,1622070065
7244,18,42719,5 years of service.,1622070261
7250,18,23172,5 years of service.,1622070478
7252,18,33044,5 years of service.,1622070515
